what,kind,bundleId,bundleVersion,description,time
started,bundle,org.eclipse.equinox.preferences,3.3.0.v20100503,"org.eclipse.equinox.preferences",1536155088042
started,bundle,org.eclipse.equinox.registry,3.5.0.v20100503,"org.eclipse.equinox.registry",1536155088042
started,bundle,org.eclipse.equinox.security,1.0.200.v20100503,"org.eclipse.equinox.security",1536155088043
started,bundle,org.eclipse.equinox.util,1.0.200.v20100503,"org.eclipse.equinox.util",1536155088043
started,bundle,org.eclipse.help,3.5.0.v20100524,"org.eclipse.help",1536155088044
started,bundle,org.eclipse.jdt.core,3.6.1.v_A68_R36x,"org.eclipse.jdt.core",1536155088044
started,bundle,org.eclipse.jdt.core.manipulation,1.3.0.v20100520-0800,"org.eclipse.jdt.core.manipulation",1536155088045
started,bundle,org.eclipse.jdt.ui,3.6.1.r361_v20100825-0800,"org.eclipse.jdt.ui",1536155088047
started,bundle,org.eclipse.jface,3.6.1.M20100825-0800,"org.eclipse.jface",1536155088047
started,bundle,org.eclipse.jsch.core,1.1.200.I20100505-1245,"org.eclipse.jsch.core",1536155088048
started,bundle,org.eclipse.mylyn.bugzilla.core,3.4.2.v20100902-0100-e3x,"org.eclipse.mylyn.bugzilla.core",1536155088048
started,bundle,org.eclipse.mylyn.bugzilla.ui,3.4.2.v20100909-0100-e3x,"org.eclipse.mylyn.bugzilla.ui",1536155088048
started,bundle,org.eclipse.mylyn.commons.net,3.4.1.v20100625-2100-e3x,"org.eclipse.mylyn.commons.net",1536155088048
started,bundle,org.eclipse.mylyn.commons.ui,3.4.0.v20100608-0100-e3x,"org.eclipse.mylyn.commons.ui",1536155088049
started,bundle,org.eclipse.mylyn.context.core,3.4.1.v20100909-0100-e3x,"org.eclipse.mylyn.context.core",1536155088049
started,bundle,org.eclipse.mylyn.context.ui,3.4.1.v20100909-0100-e3x,"org.eclipse.mylyn.context.ui",1536155088057
started,bundle,org.eclipse.mylyn.monitor.ui,3.4.0.v20100608-0100-e3x,"org.eclipse.mylyn.monitor.ui",1536155088058
started,bundle,org.eclipse.mylyn.tasks.ui,3.4.2.v20100902-0100-e3x,"org.eclipse.mylyn.tasks.ui",1536155088059
started,bundle,org.eclipse.mylyn.team.ui,3.4.2.v20100909-0100-e3x,"org.eclipse.mylyn.team.ui",1536155088059
started,bundle,org.eclipse.search,3.6.0.v20100520-0800,"org.eclipse.search",1536155088060
started,bundle,org.eclipse.team.core,3.5.100.R36x_v20100825-0800,"org.eclipse.team.core",1536155088060
started,bundle,org.eclipse.team.cvs.core,3.3.300.I20100526-0800,"org.eclipse.team.cvs.core",1536155088060
started,bundle,org.eclipse.team.cvs.ui,3.3.301.R36x_v20100825-0800,"org.eclipse.team.cvs.ui",1536155088061
started,bundle,org.eclipse.team.ui,3.5.101.R36x_v20100825-0800,"org.eclipse.team.ui",1536155088061
started,bundle,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui",1536155088062
started,bundle,org.eclipse.ui.console,3.5.0.v20100526,"org.eclipse.ui.console",1536155088062
started,bundle,org.eclipse.ui.editors,3.6.1.r361_v20100825-0800,"org.eclipse.ui.editors",1536155088063
started,bundle,org.eclipse.ui.forms,3.5.2.r36_v20100702,"org.eclipse.ui.forms",1536155088063
started,bundle,org.eclipse.ui.ide,3.6.1.M20100825-0800,"org.eclipse.ui.ide",1536155088064
started,bundle,org.eclipse.ui.intro,3.4.0.v20100427,"org.eclipse.ui.intro",1536155088064
started,bundle,org.eclipse.ui.intro.universal,3.2.402.r36_v20100702,"org.eclipse.ui.intro.universal",1536155088064
started,bundle,org.eclipse.ui.net,1.2.100.I20100505-1245,"org.eclipse.ui.net",1536155088064
started,bundle,org.eclipse.ui.views,3.5.0.I20100527-0800,"org.eclipse.ui.views",1536155088065
started,bundle,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"org.eclipse.ui.workbench",1536155088065
started,bundle,org.eclipse.ui.workbench.texteditor,3.6.1.r361_v20100714-0800,"org.eclipse.ui.workbench.texteditor",1536155088066
started,bundle,org.eclipse.update.configurator,3.3.100.v20100512,"org.eclipse.update.configurator",1536155088066
started,bundle,org.eclipse.update.core,3.2.402.R36x_v20100629,"org.eclipse.update.core",1536155088067
started,bundle,org.eclipse.update.scheduler,3.2.300.v20100512,"org.eclipse.update.scheduler",1536155088068
os,sysinfo,,,"win32",1536155088070
arch,sysinfo,,,"x86",1536155088070
ws,sysinfo,,,"win32",1536155088070
locale,sysinfo,,,"en_US",1536155088070
processors,sysinfo,,,"8",1536155088070
java.runtime.name,sysinfo,,,"Java(TM) SE Runtime Environment",1536155088070
java.runtime.version,sysinfo,,,"1.8.0_161-b12",1536155088070
java.specification.name,sysinfo,,,"Java Platform API Specification",1536155088070
java.specification.vendor,sysinfo,,,"Oracle Corporation",1536155088070
java.specification.version,sysinfo,,,"1.8",1536155088070
java.vendor,sysinfo,,,"Oracle Corporation",1536155088070
java.version,sysinfo,,,"1.8.0_161",1536155088070
java.vm.info,sysinfo,,,"mixed mode",1536155088070
java.vm.name,sysinfo,,,"Java HotSpot(TM) Client VM",1536155088070
java.vm.specification.name,sysinfo,,,"Java Virtual Machine Specification",1536155088070
java.vm.specification.vendor,sysinfo,,,"Oracle Corporation",1536155088070
java.vm.specification.version,sysinfo,,,"1.8",1536155088070
java.vm.vendor,sysinfo,,,"Oracle Corporation",1536155088070
java.vm.version,sysinfo,,,"25.161-b12",1536155088070
activated,view,org.eclipse.jdt.ui,3.6.1.r361_v20100825-0800,"org.eclipse.jdt.ui.PackageExplorer",1536155089051
activated,view,org.eclipse.jdt.ui,3.6.1.r361_v20100825-0800,"org.eclipse.jdt.ui.PackageExplorer",1536155089071
